rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  29.95361759   99.92402635  219.90854041   29.94480527   39.94895694
   99.9601897   109.9391176   189.91583945   99.9601897   109.9391176 ]","[ 159.94205339  159.90620425    9.98165413    9.98176052   39.97004958
    9.98000793   59.96946769   89.97431845   89.94829288   19.96841863]","[  99.94238559    9.97962066   79.9626661    69.93658439   99.94810549
   39.9705401   109.93490828   89.95054765   79.9849394    19.97096021]","[  49.95133034   49.92010737   49.94803247   49.96525625   89.86522086
  139.86952344  119.88314045   39.95251548   89.97546353   59.93936378]","[  29.96108906   29.96098552   89.91092018   49.96424143   19.96702435
   29.97708533    9.99112065  119.89438792   59.95768877    9.98162151]","[  19.96675106  259.89630155    9.98848433  119.95548212   19.98486785
   49.97044754   29.9618157    39.98257354   49.95365514   99.9734017 ]","[  49.94745944   59.95380532   69.95008532    9.98269291   29.98967803
   19.9702714   129.94544881   39.97155602   59.96981794  119.92518806]","[ 259.92212939   49.95131618   69.97466835  109.85603669    0.
   49.93543473   19.97283393   79.95449478   29.97069691   69.94364405]","[  99.94589513   19.96934306   39.93649079   19.97260167   49.96251939
   59.94987999   29.96350243  249.91849069   29.96625366   29.96424161]","[  19.97155166  129.93292943   39.96291949    9.98393873   39.96576004
   29.9729628    39.97888665   39.96315296    0.           89.94137195]"
"[ 179.90439761   29.96153531    9.98480117  179.8535594   129.90402298
   19.98317339  209.91380351   79.96865136  219.87490097   19.97793942]","[ 309.90663435   59.95221725  189.92253162  109.92901407   59.9139277
  109.90960402   79.9601271    29.94315851   99.88983045   29.96784334]","[ 109.9421425   139.90233175   99.97879277   39.9732083    79.94734779
   49.94498116   19.96601129   39.97872594   39.97512472   99.84674814]","[ 109.95247892   79.9678922    69.96548959    9.98226358   49.9605828
   49.91828489   39.94888311  119.97081735   59.97107059  199.78361472]","[  79.96394349   49.91922875  179.94912302   69.96788346   99.88573636
   59.94740312   49.97881865   79.96517031   39.97585175   29.94484755]","[ 319.85541532  109.92688253   29.96168452   59.96776872   69.94551616
  179.91506798  249.92838301    9.98002588   99.9482567   119.95217712]","[  39.959421    139.95512401   19.96804034  109.93283668  199.93268401
   19.97162476   99.91812969   69.92475113   19.96520784  129.96030476]","[  69.91602426   19.97397184   29.95876598   49.96090335  209.92806676
   29.95966937   39.98110476   59.97084753   49.97001534   39.95007677]","[  59.9095075    39.9638808   169.95551138   29.97430346   79.93750437
  139.92253572   49.97508062   19.96774493   69.93744763   39.97928276]","[  19.96892672  149.94615943   89.91957655  179.9065161    19.97269609
   19.9720567   129.94350143   29.96786192    9.98439832   89.93058471]"
"[  19.97432493  119.89201423   99.88703765  169.84040588  129.85018532
  249.86456884   69.88623675  289.92534847  199.92841092   49.95054215]","[  99.90487099  159.91002623   29.97903619    0.           39.96467007
   99.9634264   299.80611371  129.90961788   69.9403453    89.89939945]","[  79.93983733   39.97174822   39.94943529  199.87800194   49.93169753
   89.95946619   89.88754598   19.96472599   69.94357696   99.95335303]","[ 269.86575679   79.97053356   39.96322683    9.98621952   89.94415562
  129.94064374    0.          169.86556574   29.96882721   39.95950874]","[  69.97128904  179.89351736   89.91600306   19.96122287  249.88053926
  189.89803232  319.76789778  109.96917867   29.94983771    9.98271116]","[  29.96606455   99.8784484    49.928566     29.97086811  109.89274558
   59.95884186   59.950624    139.94477479   29.98690314   69.94274879]","[   9.98144771   59.96246347   99.96260299    9.98066979   19.98907171
  149.91660216   29.96459132  329.79927702   49.9805622    39.95110138]","[  49.94654766  269.89108949    0.          229.8122635    99.94390018
  209.88779117   59.96460054  139.95941069  119.8763279    39.93854145]","[   9.98923493  369.83708229   39.96055975   79.96737822  289.8938003
  109.93458583   49.93322521   29.97791881   99.94111831   29.96857125]","[ 189.86154157    9.9889127    19.96938615  249.90416927    9.98712102
  179.93544301  109.88084471   59.9800843   119.95670484  129.95983024]"
"[  49.91383112   99.96101406  189.94917618  179.80491896  119.94901231
   29.9798279    89.93548576  159.8517427    89.8974733    19.96750035]","[ 239.8943126    59.90653793   59.92864799    9.98946323   19.96219875
  239.86034191  149.95289491   69.95698961   39.96360251   59.97036798]","[  79.94138686  119.97677433   69.9047347   209.89784184  149.94232459
    0.           39.94541515  189.92004738  149.93815466   39.94222015]","[  99.93860243   19.97495003  109.90249967  279.79848701  249.89916534
  179.90097174   19.96857261  119.95640108   59.97037585   69.91409564]","[  59.9540561    59.94555613   59.96073282  419.89781155   79.94355631
   59.94736784   29.9723566    79.9429345   169.91795484  269.92675161]","[ 129.90594103   39.9700991   159.95237741  139.94238166   49.97230876
  129.89639144    0.           49.95749644   99.94438411  149.92891123]","[  69.95457836   79.93733958   19.9661944    59.96286223   49.98088665
  169.84376863   89.96488951  369.78485077    0.           39.97346139]","[  49.97457923   19.97257468   99.93248553   39.92994612   59.94884062
   59.93924321  149.95357931   19.97199729   99.89908652   19.97237062]","[ 19.96501805  49.97633682  69.95432564  39.96195482  29.95368726
  99.97721849  59.9164173    9.97934065  29.97552832  59.95537949]","[ 159.88749247   99.92480104  149.97234684  139.90552656  129.91694077
  109.89962865  169.92321782  129.92996635    9.98329231   39.95088681]"
"[ 199.92097993   49.93799727   79.95076228  169.94657549  159.94477805
   29.97987919   39.95884676   19.97152228   39.96098504   39.96426196]","[  29.95017134  189.91891275   99.93486309   89.94085203   59.95539499
  139.90420215  209.95792448   39.9408016   159.88815057  159.97151674]","[ 229.9377273    29.96488353    0.           19.96841599    9.98613117
  119.93814642   19.96586962   39.97353528   69.94328374   79.96626252]","[  99.96769133   69.97084869   59.96413152   19.97141173   69.97299406
   59.93430091  179.90276785  189.85570007   79.93911947  119.96455454]","[  29.95895832    9.98372998   59.96234794  199.88029636   99.88595574
  249.83269698  169.92854886  129.89494197  259.86270646    9.98248679]","[ 129.90865799  209.91504028  149.86544815   79.96577445  239.95002553
  109.9356135    19.97930281    0.           29.96432204  179.83318074]","[ 249.90647252   19.96979511   89.96519966   99.94789548  129.90133325
  149.93818108  169.85666488   69.91971733   59.95866343   99.96833423]","[  39.94314246  159.85893697   39.9735784    19.9613654    29.96451997
    0.          169.93172985   89.92991195  139.9250531    29.98420315]","[  39.95766324   79.91953033   19.97882625   99.93318418  399.83240208
  119.94153956  139.8537442   119.94247215    9.98446479   29.958793  ]","[  79.98212125   29.95831785  159.91259715   99.91480204  239.88455459
    9.98781455   29.97550399   49.97916265   99.94173914    9.98949407]"
"[ 329.91280495  159.84809594  189.86100922  249.92142745  159.8373133
   99.95511512  409.87162273  179.89092297   39.96712742  219.88458296]","[  79.94939214  159.87870545   69.90866722  219.86215904   89.94528478
    9.98749444  579.76697226  109.97178465  169.93627391  259.87172425]","[ 119.93514754  349.8632495   209.83171313   19.97275673    9.98017907
   69.93820214  109.90184256   79.93864968   59.96077536   89.93104197]","[ 199.93261073  199.91673585   99.91089192   99.93877463  179.84621393
  219.91636302  199.91212289   29.95204601   19.9653794    79.97644129]","[ 199.9559593   259.9395447   119.95036274  129.88792742   99.94518982
   39.96425815  149.9076128    69.92421339  169.90948256  179.94827788]","[ 109.91567936   89.89431737   59.94829992  219.91765526  169.92740784
   99.92376757   79.92770084   19.97115874   59.94649283  179.83161003]","[ 109.88483552   49.94468073  129.92466541    0.          189.84730853
  179.94284467    9.98649217   69.97868251   59.93497493    9.98110749]","[   0.           19.96699972  119.87235762   59.91443338   99.92446264
  109.95566975  139.9221603   209.83206124    9.99122881   49.9722492 ]","[   0.           29.97914576  199.81618165   39.97629039   39.92923735
  209.87805833   29.98139054  379.86850861   69.95665356   69.97277606]","[  59.96220391   59.92198155   89.96334502  159.92552024  159.89575167
   69.9288687    39.98253192  109.91071222   69.8846933    39.93898465]"
"[ 119.90159671  109.9310778   119.93766454   39.94045933   99.94767342
  139.85316941  159.86221233  229.92776298   29.95625124  109.89145235]","[ 269.83129301   99.93391297  119.92783096  219.93373111   39.94331198
  239.90583197  269.89259479   69.96962067  159.93878428  139.95818973]","[ 229.92793187   79.94573698   69.96496374   79.93615336   19.98527544
   29.95387639  139.93050696  199.78584994   19.97847214   29.96528208]","[  59.96294448  139.94537886   79.9467105     0.          289.82765712
  179.88951213   99.94166744    9.97915268  149.81642639   79.90243235]","[ 319.87271388  119.86598287    9.97991908  119.92638721   79.97199815
  249.79889648   39.96864871   69.97850238  309.75430642    9.97977906]","[ 159.94438139   99.92362066    9.98828931   89.87304453   39.9789006
  209.84085781   29.96586913   49.95613455   29.95280329   79.95850119]","[ 109.92629416  249.910738     39.93771061  119.95452074   39.95956394
  469.84498457  179.88544032  169.91021304  219.91109567   89.89237106]","[ 239.91402376   39.92761658   79.92902353   69.95605358  279.95395589
  199.91285586  219.91862686   59.95103225   29.94698422   19.97176793]","[  79.91462352   29.96880284   29.97470145   59.97311492  129.95808846
   89.93806565   29.96429748   99.88578519   29.97615394  199.89369495]","[ 199.92465068   89.97200314  169.92950626  169.86161982  329.90881205
  239.85221785  279.89077339  119.91045162   69.96255329  129.8791759 ]"
"[  99.9515901    29.96260657  259.88036109   69.9373984    89.95072744
  209.95046675  379.8328515   239.87023504  139.93138312   39.98925226]","[  79.94813892  209.85526711  199.94286968  349.83926591   89.96168626
  219.87968467   29.9559774    29.96106804  119.92585679   19.97710059]","[  99.91201922   19.98122033  299.82725597  209.89841823  109.93049594
   59.95752249  199.94074303  319.88487892  279.81717114  159.90850588]","[  49.96249924  139.92908891   39.95311285   39.95621344  179.87255155
  149.91119101  369.9193049   229.84736504  159.83662413   49.93794316]","[ 139.94236506  199.94455559  129.87425812   29.97621103    9.98092
   59.9502273    39.96946599    9.98086137  139.86339087  119.91434976]","[ 249.86931753   39.97659106   69.96304531   69.92095137  359.85627427
  269.81713305  159.91740969  139.92412822   19.97707491    9.9792803 ]","[ 129.87942477   79.89632998  109.94584133   99.95334296   29.95797862
   99.97217429    9.98252791   39.93974121   59.95178947  219.93570439]","[  69.93720886  409.87730867  179.8702765    69.90652111   79.95575259
  279.88079531  199.76864771   89.91884326  129.90892683  159.92460271]","[  69.94559549   79.96271489  189.90959598  149.87923916  229.94415145
  129.93982228  149.91138716  129.92824801   49.9656976    89.95174092]","[  79.92744117    9.98375144   69.94605252   79.90638175   79.94560834
  109.9092079    49.94921717  249.90261085   79.96090676   89.97016449]"
"[ 179.88145291   99.9267089    69.91918777  249.82553673  239.86586344
   19.97390244   39.95861746   39.95846746  179.91587662  149.93232412]","[  49.94538904   79.9631953    49.9598709    59.96192781   59.94440735
  149.83482562   99.95641689  189.93035459   19.9696941   119.89303352]","[  19.97882297  149.91612624  109.96829496  279.90849525   29.97433454
   29.9636869   149.92324042   69.94036605  149.84335726  189.92047229]","[  49.93859623   39.94120033   49.91033752  219.90553916   79.94165018
  309.90637533   49.95411944  109.90684074   99.95389378   99.87395777]","[ 119.87854947  129.91147151   19.98217114  129.92609705   59.89308714
  129.95207202   39.97521257   59.97115797  359.89361586  129.85496166]","[  69.90429446   29.97385877   69.97762826   39.94035166   79.98566052
  129.97185949   29.97524946    9.98146435   89.9386941   159.88816895]","[ 339.83830479  199.8772471    29.94867291   59.95495984   69.95900353
  559.71361946  279.90413266    9.98080845   59.96883993    0.        ]","[  99.89842669  109.94653598   39.96409246   69.94742179  159.95820772
  109.91882461   39.95826721   39.97361686  119.95135867    0.        ]","[ 589.71084866   89.89690932  359.91078915  219.91615989   29.9758534
   19.96572481   19.97368123  109.88959613   89.90825296  159.87610873]","[  19.96644847   49.93815299  149.93593843   89.97100683  159.94842204
  209.84967858   59.96182542   29.965518    179.91774255  179.92248396]"
"[  59.92400388   19.96339731   49.94613219  309.9054624   119.90070626
  229.92066165  119.88413911  189.89008704  139.87155564  149.97774149]","[ 419.82207923    9.98677516   29.96217272   59.940437     89.9368533
   89.97191444  189.89405186  169.86813189   69.93224      49.97249383]","[ 299.87228598   49.96364359   19.96713662   89.96520761  219.89035431
   19.96705378   19.96977564   89.92298342   59.92382345   59.92038371]","[ 179.96190083  159.91010356  159.83750049  159.92221101    9.98203378
   69.97766074  229.83423131   49.96136245   89.9574725    59.93788826]","[ 289.91420356   69.92897315  159.83807523  169.85613929  169.93691209
   29.94280316  199.93152029   99.94931202  149.89966292   29.97732981]","[  99.88534688    9.9831417    99.92487899  449.90306007   29.9681093
    9.97966167  219.84217608  149.85934037   29.96536551  129.92478619]","[ 319.88127774  229.91811571   29.9624063   129.95789689  159.8798756
   99.87256388   19.97857494  239.88795943  109.8809175    19.980339  ]","[  99.84312418   19.97401486   49.95310004  179.93452062   59.96166634
   19.99207582   89.88593814  119.90348115   29.97680139  199.88944115]","[ 129.93091684   39.96095164  189.92634281  169.87677615   39.94289665
  239.90357391   29.98679468   19.97828274   59.93945666   49.93735816]","[   0.          169.85082711   39.93836492  209.83044052    9.98130002
   59.97849591  289.91938411  129.90357852   49.92828997  109.85839382]"
"[ 219.91072867  129.92775668   49.97402478  109.88882571  579.75527918
  149.92381853  219.91072868  129.92775672   49.97402478  309.88019703]","[ 169.774127     59.95812429   49.9647355   249.84010703  279.79314357
  129.89829572  399.89145356   89.96986793   39.96218686   49.94279171]","[  19.97344596   39.94041071  119.91885503  149.87495041   19.97872481
  139.91839414   19.97611074  159.87920407   69.91049979  159.86859921]","[ 229.92232355  149.93132844  159.91946886  169.81368351  179.86625983
  109.96464655   59.96608668  299.79980413  209.92428077  129.91925792]","[  89.91665825  269.89419441   99.90864013    9.98586117    9.98264434
   29.95642676  119.90875114   79.93465338  319.87190933  189.85803339]","[ 219.8498462   119.95241447  249.76490462   49.97156141  259.92823423
   99.96115364    0.          119.95730669  179.8922608     9.98302595]","[ 189.88115393  299.90958872  139.91496955  129.92832453    9.98546603
  189.93921779    9.98013772  149.92531362   39.96144043    9.98415961]","[  29.95995769  179.8056846   169.87826312  149.95208719  179.94243919
  169.9039177    39.94529894    0.           59.92068947    0.        ]","[ 409.79531458   39.97698116  219.88374353   29.9726854    29.9503773
   99.96552316  109.86742181  119.9660076   269.87001404   49.94545996]","[ 309.92180707   59.95215166  179.93547303   19.96614023  169.94903383
   29.97102766   69.91652797  129.88393779   39.95383622  139.9129565 ]"
"[  39.92998093   39.96901901  149.84417904  159.93022771   29.95496293
  239.90007102   49.9599051    19.96521404   99.8712946   169.88824264]","[ 129.91603853  129.8503377   329.83953697  229.83663857  129.9491516
   19.96357678    0.           79.86989035  149.92035771   89.945791  ]","[  49.96657178   99.96040735   59.9553545   189.91119486   39.95380423
   29.94972719   79.95047898   59.9635462    39.95197751   69.92903619]","[  39.94833505  219.94879773  509.8450576    79.91566897  109.92935568
  139.8745275   129.94014151   19.97830724   79.9451199    49.91470319]","[  59.97942212  229.91578764  169.9403434   119.92798589  189.93099563
    9.98852496  189.85146562  299.8917431   319.83820365   99.94982011]","[ 179.95359904  239.91408259   49.95514262    9.98182504   29.96316071
  229.88684832   19.97470672  159.90800961  199.90585627   39.93444686]","[  39.93663493   79.93108059    9.98391612   59.93858259   59.92952423
   49.96867044  119.95452199  269.84364342   49.9518869    89.95640047]","[ 129.94189222  149.91370281  229.80825789   89.87156172  119.89932152
   29.98688641  129.90547471   89.93441665   49.97858003  229.85043312]","[  29.95496124  109.922474     59.96631145  149.91701801    9.98014091
   79.96564133  189.90185551    9.98675761   49.96966103   59.97974864]","[  39.97396471    9.98070786  199.92109835  209.86408929   59.97521565
  239.88441944   89.9435563   129.97353225  159.85507189  109.84728383]"
"[  89.98464737  199.81820324  149.91604378  139.90503702  189.86579029
  199.84183733   39.95395804   59.92601569   69.92413474  179.91060854]","[  29.95523071  189.94286458  199.85764777  109.87509372    0.
   49.96911471   49.97427213   19.97623894   79.95921546   69.96008326]","[  99.95473745    9.98021976   59.95634215  159.85594405   69.9562553
   29.96651797   99.92028615    9.97942557   19.96746864   49.97718868]","[  59.90608765  149.94101998   89.97422443  129.87999298   89.89529273
   99.90592565   29.96690848   39.93575424  109.9250538   169.93986423]","[ 169.94693354  129.94984952  329.64466782  179.89631929   59.92348466
  129.91026969  209.88145271  179.90053043   99.89271341  329.8347951 ]","[ 109.90563651   99.89969917    9.98134055   79.93906777  139.82435815
   49.97532365   69.97488704   19.97605005   29.9855094   109.96911282]","[  39.9637895     9.98579008  139.91853517   59.93590731    0.
   49.94902778   39.97403914   29.97954611    0.          209.89132648]","[ 149.90592662  199.88901443   49.97666237  279.80259712  299.90074645
   49.95191713   69.95398424   59.93216515    9.99054026  119.88784376]","[  59.92880657   59.91432145   69.96128097  129.9012809   199.9008929
  219.90276693  119.93152008  399.89407459   99.94200058   19.97173873]","[  69.9520449   199.89468614  459.84322997    9.98909189  139.83621134
   29.96359445   19.96312726  119.919891    139.95337104  269.88647064]"
"[  39.94303006   49.94926404   69.91792317   49.94765689  109.8833406
   89.89201016  319.92802385  219.90471682  169.89397031   19.97475384]","[  9.98914291  19.98769305  39.9361599   79.91960441  69.96570584
  79.91038888  19.96805361   9.97963815  59.93902559  79.89902638]","[  89.9332222   389.86819052   39.96540017   39.9519633   139.93670886
  119.93327543    9.9892394    59.94496332   59.95451056   29.97575312]","[ 159.91785684   39.97604417    9.98438402  159.93238891   89.92645928
   29.95559967   89.94657772  189.87205932   99.91220093   59.9221236 ]","[  99.96502324  109.9464741    79.94661315  229.93633791   79.88958029
  119.93970301  279.87920554  219.8779453    69.96892793   19.97058972]","[ 179.85676383   89.95217603    0.          259.86499475   39.93404588
   59.95439826  249.87136346   39.93635833  289.87778756  159.92489546]","[  79.92294935   49.92763628   59.95735141    9.98088496  149.94189547
   89.95982331  179.85672903  339.85002739   19.97205191  209.88752636]","[   9.98813815   79.91022504   69.95437556  289.92350918   59.91901484
  159.91173982   69.94344894   79.91252149   79.9575569    69.95713824]","[ 129.89865737  269.92236681  219.87771936  149.92738278   19.9714532
  219.92364575  109.87994943  169.86172025   89.87686473    9.98010489]","[  69.97621527  139.96006373   49.94893684  239.84115165  109.94410446
   29.96223132    9.98202847  199.76263411  159.90235594  139.81083946]"
"[  69.91852052   29.96030498  129.88255616   59.93882007   69.93414065
   29.96189809   39.96671301  129.88255611   19.96541837   49.91865678]","[  39.96574334   89.90657793  229.91485412   39.95705946   19.96626423
    9.98779366   79.905955    319.85701914  189.94133304   39.95958324]","[  59.94494459   49.95309306  239.85626279   99.96559616  119.90664747
  149.80683631  139.89651679  119.92818414   99.91641348  229.87933748]","[  99.93421194   49.96076417  149.8766297   219.91086725  299.84858318
    9.98673969  349.813206     29.94285975   49.91531138   49.91794659]","[  89.94670507  119.88291358   79.89206836  229.86027131   79.91397184
  349.86153376  189.91765394   89.87374103  129.82838918   29.96383848]","[ 139.88588104   79.90022014   79.96420052   29.94600658   59.96751137
  209.83924653  259.83053582  149.93593463  299.7950104   109.88529832]","[  39.95202932   89.96733344    9.98119358   29.97165693  239.88714272
   99.95571729  169.86223092  119.90951774   59.96721239   99.89321375]","[ 109.92625735  319.82022755  339.88226876  299.93041271  179.86971825
   79.92224081   29.97463297  219.86046614   89.96396082   79.91543208]","[  59.91791167   69.94106264  279.79520958   29.9660451    29.96479609
  239.87209037  149.92880435   99.89929421   69.95345552  189.9358316 ]","[  19.96963107  499.83082296   69.91624032  129.92093155  189.84124083
   89.91941429   49.97458219  139.91535155   89.96267684   69.96411381]"
"[ 139.95161038  129.93240143  139.82658581  259.89586811   99.9484442
   19.96954634   29.94583926   79.92390346    9.98550777  139.92101382]","[ 179.93152715   19.97917034   89.94468757  129.84435297    9.9812687
  209.86911793  279.90179338  119.82702454    9.98130008  159.91782857]","[ 139.93916269   39.95523704   59.90306269   99.95258111  129.96201511
  309.90285183   39.96106479  249.83977101   69.95275182   19.96443334]","[  79.94121281    9.97926176   19.97552406  269.91573009  279.91407575
  149.90348541  369.90348714   99.94971621  119.88187716  239.89029466]","[ 139.80112424  209.83596246   89.95629498   49.95661002  179.95559804
  169.88519134  119.95279394  149.8998261   179.90414259   29.94846432]","[ 119.88941767    9.98908744  169.83045572  249.90787071   79.89364484
  249.94802956  149.93954427  119.93140337  149.89556932   59.92906115]","[  79.92246919  159.91918242  179.9007007    39.93960273  159.92230305
   49.9597615   249.92796214    9.98279352   69.94662671    9.98222471]","[  79.89459333   29.97457774   29.94562466  289.85204691  479.71980516
  179.82863363  419.85504885   49.93344801  209.88664665   59.94692706]","[ 119.88486546  279.86001316   79.90990874   39.96060846   79.92149621
  139.93380594   69.96022199  109.9498751    29.97101306  239.8465014 ]","[ 329.89339296  289.87538748   89.93524976  269.93407205  119.9126615
   99.96318324   89.94615738    9.98736774  249.90568411    9.9876636 ]"
"[ 169.90208938    0.          179.82454062   69.94319339  109.92476146
   29.96158751  149.91403716   49.9658785   129.93557953   99.95753618]","[  79.97583161  239.76075793  179.86994826   29.96031004  269.87147019
   89.9513762   179.94057331  249.91737496   69.93579419   99.91935048]","[  79.94717591   59.9258543   489.75592356   39.95715885  319.87695722
   69.94729675  159.80069098  109.91228661   39.95484438   79.91616113]","[  69.92608062   49.91642766  109.89468891   39.94256335   49.93637439
   59.93677922  159.93800113  149.92840089  249.9146674    49.95953659]","[  89.94098376   99.87041304  449.7736814    79.96133548   99.94418901
   69.94273674  279.93387806   39.95284403  159.895362     29.9576659 ]","[ 289.89812583   59.97014628  229.89570887  109.88425234   69.8808709
   99.90129241  139.86627882  399.80392664   79.93104385   19.97803622]","[ 349.88712983   39.94558086   29.95122256  269.88842132  319.8759411
   59.93828677   19.96993464  209.81587272  179.88937244  179.92021768]","[ 109.84614282   59.90417394    0.          139.92820039  199.78836089
  199.90341424   19.97203625   29.96411672   79.96020434  209.88334948]","[ 229.93355092  129.89333557  139.9300267   139.91326691  279.81838519
  229.94690636  149.90808265  119.93934301   89.98033873  179.92092846]","[ 369.82001745   29.96442481  239.92986697   49.96665727   79.91496116
  119.89491745  149.92586921  119.97214267  109.93512462   89.97108475]"
"[ 239.83827859    9.9795382    29.97007788  189.90085476   39.97872181
  109.97954827  129.90435955  269.8708138    29.97730726  199.87991839]","[  69.92344214    9.98480575   49.95254103   79.97277487  129.85102892
  169.90903529   59.9510772     9.98849238  179.88880952  159.94031864]","[  59.9320764    79.87233847   89.91099151  329.85380468  109.93975731
  189.90229645    0.          489.65416131  129.87721402  289.86579835]","[ 369.88812811  169.91434778  229.88341282   39.94144792  209.88419391
  109.95133305   59.91914507   69.94880912  169.84733588   99.94334887]","[ 189.89885095  289.84721271   89.92999799  149.94083374  239.87474368
   29.9515478   239.86154456    9.98025517   39.96201066   99.94799041]","[ 259.83569209   19.97833881   59.90202277  329.8354477   199.95249647
  209.86964003  189.89446447  449.89076401  339.83408758    9.98230943]","[  49.93408886   99.9553389     0.           89.92591866  129.92888046
  219.8165       69.95393672    0.           59.9752882    79.9548177 ]","[ 449.77270563   49.92808526  289.83740135   89.91334737   39.95450747
  149.87277071  109.9348821   239.92089552  109.93346862   59.96569584]","[ 149.89125729  169.93161723   29.9673507   289.93103133  129.91529383
  309.86575928   29.95034929  119.96132534  159.93946471   69.98205915]","[  59.91665221  119.900791    259.93495672  319.85287731  119.86675306
   19.97344328  429.84436547    9.98827757   39.98027877  129.94455176]"
"[ 129.88678459   49.93819065  249.86402416  139.94790188  379.84556807
  169.89995979   89.88590991  379.88195223   69.91284279  189.87680791]","[ 249.85434736   19.97140756   89.91469888  179.88570417  189.95701669
  239.89556357   49.9193952    69.97314057   99.96418222    9.9877445 ]","[ 559.8958463   249.8235319   219.85599349   59.97489705  219.83964665
  229.91659464  249.9067369   259.91115827  259.90391913  109.9605281 ]","[ 189.85673385    9.98321024   89.96381161  249.85102554  349.92571105
  229.85300514  399.91244536  269.90778421  179.81655948  549.75361566]","[ 119.83029052   39.95425282  209.8973359   369.78412206   79.95358112
   79.97117664  199.8923322   159.92401033  269.8535354   399.87745713]","[ 369.90435218  109.86011461   39.93364291  309.88595492  109.88086158
  249.84381628   79.94784411  389.85155829  119.9441166   309.90109139]","[ 129.92418767  119.94325009    9.98095102   79.95662191  109.91057711
  179.90442657  119.89493009   99.87456574  189.92822967  269.9081964 ]","[  79.89647223  179.89505131  209.87174298   69.93637146  249.86291902
   99.90565453   59.92766992  199.90565834    9.98745539  209.86155945]","[ 289.92760359   49.95932383  129.93000364   79.97514716   99.94101225
  249.92664702    9.98428579  219.82174041   99.94253168   39.951394  ]","[ 129.84685677  159.8920961    79.86255201  199.9308764   219.86205671
  209.89999385    0.           39.96349223  139.90228542  109.86747305]"
"[  89.94953008  119.87335567  199.82202143   29.97766908  169.93622665
   39.97026692  209.74993448  299.9031624   179.83065017  169.83878639]","[  89.95925019  209.90700059  199.93003159   49.97221143  289.81604829
   19.97919628  219.8718235   129.8400875     9.98632262  219.86465488]","[  49.93877409   69.95742172  139.87735465  239.86868901  179.85672229
  179.8390676   239.87516663  239.90630201  179.92281284  339.9408935 ]","[ 119.92872587  109.88990544  419.85414953  179.8688029   199.87046111
  109.9244967   149.9540641   109.9071412   189.92824572  119.86898678]","[ 139.92485515   69.92957559    9.98049275  149.92438027  439.73985559
  199.85474632   39.95765203  119.90479215   99.91217702   99.95435474]","[ 229.90631849   59.97628448  249.90981584  129.89796358  519.74082305
  319.9267015   259.88774459   99.94125319   49.9535674   359.87190906]","[ 189.88585983   79.96850627  149.87859147  339.85934926  129.94709095
   59.94355461  169.90050462  159.92836292  249.86023932   59.95279961]","[  69.96555907   29.95849221  189.89159707   69.93553245  359.85831216
  119.86045811  209.90072595   49.94834899   79.90403944  259.91354688]","[ 309.84802274  339.87382015   39.96604418   89.89234801  169.92157929
  179.94611474  189.92976597  109.94709138  189.87787114   69.97286093]","[ 349.89946031   39.92876462  119.95200496    9.98145129  159.93614608
   89.97796197   59.94111492  189.93935875   49.93037311  159.96195422]"
"[ 299.85375248  269.82361595    9.98963217  139.88631087  109.85978474
  269.90378878  119.86800422  179.8000712    29.96713713  289.83955838]","[ 239.87027714   99.9034038   179.87738133   69.9520694   189.90377883
  139.88956507   39.95028222   79.89216306  149.84133465   89.95945642]","[ 179.85928946   49.98621395   69.93408451   69.94506457   19.97087601
    9.98370253  279.90499004  179.91095519   69.94870021   59.94295251]","[ 219.91656434   29.95810173   69.91589869   59.94417082  209.87734903
  139.90030647  189.89143602   49.9439942    59.93096991    9.98116772]","[ 359.7990306   279.80850132  299.91057931  219.92307056  299.8099561
   89.89920841  269.83872592  229.86883507  109.85107878  269.8807886 ]","[  89.87785615   19.96964586   59.92656095  259.90309083  109.91988081
  269.89227758  209.9303731    79.87065058  309.88143732  159.84475657]","[   9.97953943  119.8810777   109.89879952  319.87156621   29.9533596
  159.91704445  209.88742978   79.97999471  139.95566054   19.97649424]","[ 229.89112921  379.82037447  189.87146523  209.89658495  109.89320771
  189.8553705   179.81594351  159.93983915  239.92435191  239.78135382]","[ 129.90627998  279.74349971  299.8917528    79.94832148  289.92639825
  189.9092791    29.95775507  209.9060288   249.85436001   89.95208732]","[ 159.91590791   89.93466297  149.77083555  119.96452645   49.94562009
  159.92341548    9.98686815  309.86827066  219.83685617  249.89282154]"
