rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 23.95120988  50.08477774  25.84356939  23.95120988  25.84356939
  23.95120988  25.84356939  23.95120988  25.84356939  23.95120988
  23.95120988  50.08477774  50.08477774   1.19355867  50.08477774
   1.19355867  23.95120988  50.08477774   1.19355867]","[ -2.87509577  87.29240011  82.96431232  66.53271833  75.40557579
  31.06111031  31.94164998  60.65838364  61.19542599  54.07570498
  25.9798618   74.80960126  24.79718433  88.53247795  35.36535876
  66.53424919  30.75480099  91.10828963  41.87520305]","[  44.5503568    62.67538026   41.74924114   44.5503568    59.48391809
   64.90299002   25.95527869  102.01460524   43.15873092   32.3497491
   20.47544382   44.04414293   46.23268073   11.41301313   54.12994556
   44.63900337   89.31830688   44.63900337   39.61756174]","[  75.68191158   57.48735524   85.25978286  109.03954366  109.03954366
   54.71886393   50.29831995   37.0340223    50.56162467   48.70953037
    6.60235617   50.6277153    49.58202589   33.8452167   110.38057504
   51.63062022   78.03571659   44.64552851   74.34056945]","[ 51.38290058  51.90709141  29.30600513  59.3796424   71.77682619
  50.89818859  97.43046328  86.84227124  53.8411652   82.83333537
  34.64931994  52.36200077  56.19463687  91.95180366  -3.45431952
  11.24272663  42.56421981  45.04062003]","[ 31.16051144  38.36560524  33.62041571  67.74912659  52.09187471
  91.51339771  87.78459453  43.07080831  41.54715878  39.2126268
  38.36560524  63.25931853  53.93210926  33.3735105   39.52164741
  52.83914253  -0.95554704  39.6368644   47.65188787]","[ 28.47754826  35.95059508  21.79470435  53.22874096  90.84879462
  47.76381267  33.0369488   54.99375     86.75853896  25.65192981
  31.32176383  26.44210052  28.56699914  53.03573918  51.34555275
  44.78304566  59.10734756  60.03592631  48.77002447]","[  49.42453889   52.37865876   91.73262428   73.71940989   18.84698053
   67.2729333     8.0400825    41.96675382    5.57063375   44.16270231
   59.38766745   68.62493603   75.97975457  109.97360724   69.87088672
   70.96540767   44.14569369   32.80528654   48.83550674]","[  52.79568006  107.65830661   44.31771018   58.19165084   68.14281113
    4.74697023   75.01479488   69.39666375   61.00560038   41.37484319
   39.58210671   76.81690676   53.98789999   56.62002243   61.48273601
   41.35526939   44.60719346  112.69929854   60.78396207]","[  87.51341344   81.18302819   49.592741     76.92839445   42.84079024
   74.32215501   59.87458983   81.96051831   56.1304195    24.73256919
   54.5376574   103.28803949   37.24811908   92.64385352   20.56773991
    9.93809583   87.12133577   80.93955539   44.73313689]"
"[ 15.12724648  59.11775147  86.25279383  33.78533824  59.11775147
  86.25279383  15.12724648  59.11775147  15.12724648  59.11775147
  59.11775147  86.25279383  15.12724648  59.11775147  86.25279383
  33.78533824  15.12724648  59.11775147  86.25279383]","[  92.04028538  127.88703359   58.69095435   87.04180922   49.81875996
   58.97151091   61.50407927   74.80722649   73.45093756   79.82118076
   39.0820015    67.33430442   10.90329268   25.1043351    44.37017877
   45.03604849   95.23734415   73.98410233  103.38572441]","[  60.02112623   33.04466413   28.78812775   45.10301559   22.33335147
   31.63213402   38.01850649   48.40677614   49.62503204   60.37402149
  127.71545084   83.68581605   82.81511193   94.04652739   86.55070673
   31.99131182   59.51176749   47.16415008   38.01850649]","[  85.58357154   75.19126356   73.11008412   47.50605723   50.65683798
   73.11008412   84.77000788   46.65107056   62.97058241   80.13179731
   59.70043017   39.82844718   86.58844228   56.09073164   46.90060172
   75.60589642   72.91277887  102.4077989    79.54835098]","[  51.79969407   36.47838972   43.44745841   52.06739699   73.71917974
   60.82122623   88.0864105    79.63970655   55.05749404   49.93266329
   95.4307848    55.37749875   28.73629792  100.67265931   40.32099609
   12.58816      54.04986727   86.28065121   93.80339748]","[  10.38553787   77.17033318   68.41529325   56.42452136  115.85273717
   67.81847067   36.31960268  109.59953508   48.64244069   42.81063293
   99.79497636   33.23093319  109.59953508   41.86963205   24.65790075
   93.86257936   63.16795755   34.12777715   60.70046235]","[ 86.54370015  26.55263991  78.26424967  47.28438833  76.48229672
  64.68107096  57.70265292  88.35241391  71.4461825   35.38072484
  87.85204125  68.97212031  46.70206163  51.61969727  45.27378681
  88.00827511  42.85249272  37.33750435  94.16232   ]","[  73.2018772    71.31921705   41.10781978  104.174473     60.59463315
   66.70629605   40.24428764   68.40859372   67.35052937  101.37041408
   52.70162272   82.22022642   76.37298336   46.57438602   49.02245717
   54.88522758  129.90698204   68.59242679   96.38716324]","[  81.03096513   49.69634247   46.39215329   89.6832588    49.10157205
   90.46572541   99.92273754   57.13893122   92.65164135   76.07195405
   63.88951319   75.53886219   15.34740775  109.95698094  104.06134854
   34.77554052   65.61474676   76.02016145   16.45177444]","[ 22.19072364  80.0204039   67.79784277  89.07757561  81.57254062
  50.71120818  80.99020522  38.39945317  58.45009314  30.12347311
  80.46319105  64.55904754  51.36072095  46.96139765  64.43444481
  88.2292531   23.09692796  54.7066837   81.83320524]"
"[ 63.0621908   61.32931649  61.32931649  52.28184982  63.0621908
  61.32931649  28.18103998  52.28184982  63.0621908   63.0621908
  61.32931649  52.28184982  63.0621908   52.28184982  63.0621908
  63.0621908   61.32931649  52.28184982  63.0621908 ]","[  78.1577148    61.36106771   46.91490752   72.86346439   92.39872448
   55.86092128   89.59935998   78.1577148    67.7579348    78.88650105
   82.46377911   49.46092445   15.91254638  114.5771044    74.50334386
  118.24279704   32.67568492   88.65265646   63.66808874]","[ 86.47599951  59.82125311  63.32753262  19.83283383  78.56429532
  69.42162851  23.15459332  46.45978158  39.51677839  96.80012075
  39.18213703  77.02852556  38.87856779  56.85626493  78.56429532
  98.96691723  78.1230427   47.14837361  27.39370907]","[  74.79506373   73.48129415   81.1116535    80.0507338    61.04099152
   35.59980084   45.43737241  149.12451102   94.76736958   89.99712333
   56.31360213   61.80254184   73.07592102   56.43870385   53.39049274
   78.45298169   98.43556642   80.0507338    74.00223145]","[  76.63026797   36.67356014   54.26044399   91.73432733   50.22254154
   81.30849344   46.60909062   41.02927198   56.71795786   68.227938
   90.10553305   72.22547761   81.72641168    5.73077385  114.37021833
   51.89584993   86.73461411   38.57778241   42.21512623]","[  72.22342737   58.18372765   47.49089083   96.99254938   85.22449749
  108.30181322   47.49089083   96.99254938  102.86260545   88.47421474
   83.68287333   54.91421116   57.07464425   83.08612079   75.57741173
   53.9215208    47.89146712   86.338583     32.57480347]","[  37.60683627   47.61093883   34.17612709  117.18640776   83.91713798
   37.58689325   68.18634991   72.74520117   92.66755673   53.76314831
   63.80782431  100.2707491    92.64129747  104.22477824   59.39672482
  102.42264747   84.30826972   67.40097741   39.78722639]","[  64.46398519   72.34601858   39.00334811   60.31001139   55.22398622
  126.17660091   61.02200674   70.95179112   47.67723877   56.60158303
   64.81343856   70.07951108   91.14085683   30.2933552    60.38333319
   27.23331575   57.39441755   77.51329676   88.13735268]","[  79.74571735   89.59190079   48.86030033   75.36112117   29.66149728
   52.29070678   70.14406655   50.43263993  112.85897623   69.68641796
   80.51293303   66.60763756   92.6227944    78.4829869    32.71049783
  100.16364361   83.64846132   83.27788984   86.39910177]","[  48.2823919    45.20497696   80.33378192  100.42707986   59.66866943
   95.74807989   94.00984716   43.15216025  111.42279132   71.70318368
   44.70336875   84.61420374   97.70420959   51.75727937   81.53026229
   98.48860016   47.02170444   63.85489802   51.83859162]"
"[  7.62090069  21.05153511   7.62090069  21.05153511  93.39504396
   7.62090069  93.39504396   7.62090069  21.05153511  37.70866893
  93.39504396   7.62090069   7.62090069  21.05153511  93.39504396
   7.62090069   7.62090069  93.39504396   7.62090069]","[ 107.62505185   44.95316708  103.85918763   53.52143994  116.62744544
   86.64466371   82.06675831   97.19879217   75.95049812  102.03680442
   96.92058562   63.00933502   16.47326744   84.92244362   53.35659033
   53.65587448   89.55479189   54.60954653  102.03680442]","[  94.63693773   73.17686511   58.12785064   43.66848614  120.58724165
   63.00641005   49.33432097   85.73802418   38.40754183   71.12904148
  112.91282606   98.62714814   76.52214813   50.05885038   86.70824183
   37.97076225  103.12920792   38.42206136   53.06467058]","[  79.81517954  144.65879027   46.70587949  100.06656694   75.17140029
   99.04811817  118.27491412   57.26582073   57.25762523   85.76195045
   71.88381829   67.57242278   49.9688437    79.68843289   62.3105611
   49.9688437    75.46325047   70.68397389   80.4213898 ]","[  66.58585655   37.79595668   61.19618341   74.00668968   35.72324615
   62.34318537   74.5303299    84.59754898   73.77818875  103.84515893
  111.89738051  113.90077963   70.0658914    20.28338159   77.09665754
   72.17526327  135.24538817   86.13688739   94.89919622]","[  89.58682701   70.75712513   75.485442    118.30483116   52.79086614
   -0.57306435   89.58682701   70.75712513   30.05666448   40.48929673
  134.48509935   83.75888814   77.32981364   78.56076233   93.78341827
   88.05791118   99.63853092   87.19327114    9.65410977]","[  65.0925807    96.42696957   59.80168463   34.4975185    62.55589183
   16.5176845    16.50104163  107.8122976    48.93004359   48.47377984
   64.93698849   59.84384108  125.8246093    65.79598765   72.05564927
   93.16350144   41.38835641   92.88291761   44.60774096]","[  64.85390616   78.56155368  122.37592944   78.19598815  107.97899187
   56.2958843   106.48244082   58.09068652   87.86899329   77.83014349
  101.90136117   46.17867099   84.85839541   85.06114516   46.83456171
   99.42792826   59.90610771   77.8662273    82.1948368 ]","[  89.63981197  133.56353396  102.45481439   69.50374418   89.81024662
   86.45743177   42.61148728   55.17429191   65.11663438   78.36932079
   88.06299861  112.87426205   23.90263126  100.72737672   55.62415304
   45.47087451   54.08016253   77.16236387   83.88202041]","[  78.47776785   93.82196962   62.7026945    96.87829015   62.96632964
   71.97244267   81.57971589   60.70388581   36.83498805   20.86464595
   93.41337487   98.91989444  115.34090566  102.08279445   30.94073601
   52.06515728   33.41979997   53.92489478   89.53716716]"
"[ 75.50104569  32.28431939  75.50104569  32.28431939  53.14803291
  10.06036664  32.28431939  53.14803291  32.28431939  53.14803291
  75.50104569  32.28431939  75.50104569  32.28431939  75.50104569
  32.28431939  32.28431939  53.14803291  75.50104569]","[  79.92668451   42.12851685   73.51213919   56.47908274   50.65685865
   80.84664423   73.51213919   56.47908274   62.21029871  104.80277864
   87.45848692   85.24522645  106.48023794   74.68285488   97.82731362
   62.27610216   59.27643415   80.7406376    82.35250433]","[  59.13206697   84.46440384   64.60555621   94.30068864   93.40156087
  127.89794779   60.39551461   80.64962398   69.38646415   52.83967672
   93.18159363   10.4702472    97.53679981   65.6607732    90.08836184
   83.6105989    73.33910673   56.97404946   68.60217459]","[  87.88567759   74.67374303   65.10583808  108.2856166    80.61505554
   95.86092711   62.32034352   70.47074621  104.87138117   89.43089275
   87.85829652   81.99446094   42.68571733   48.77948665   69.49870787
  148.68452038   71.41570008   48.77948665   41.10604933]","[  81.15980827   89.57481081   42.58494316   66.40207731  119.1967365
   99.67796911   69.17657144   74.94923988  130.75961473   74.68636091
   39.38963205   99.53870558   66.30684517   62.50182376   53.50374239
   88.68135101   82.82690181   55.99995035   93.9325608 ]","[ 104.76848886   77.19487159   77.30117107   60.26461642   91.47729178
  107.22340032   98.27316913   87.27893629   93.22134686   92.95324103
  122.42894453   61.23450745  120.63161426  136.88710453   91.47729178
  107.22340032   64.46454454   97.938262     28.33808112]","[  78.00705697   79.93735747   74.16030029   66.17414667   88.15158305
  135.00253211  113.66224028   45.01106356   40.39554957   58.35260008
   44.74675601   80.58683497  104.35113948   69.26761291   64.16399595
   42.99523957   48.71013345   53.13299515   66.53011002]","[  81.28719382   77.57921324  105.42237336   73.75775891   61.73646505
   40.79782943   99.63440839  105.12391671   66.34433928   52.09302146
   84.15893743   98.06955676   88.10721176   95.74597372   82.97985519
  102.92909564   49.15907413   78.60371896  147.55234828]","[ 104.3990753   113.29714463  113.706729    118.83468555   88.32617322
   88.19938689   83.86538875   26.14549089  101.97472245   35.50591761
  112.37339026   72.30542421   91.82710617  132.3733297    62.72780063
  133.3388234    75.99073105   79.61409443   59.09364799]","[ 129.81693301   72.24378524  121.3996232    92.86003518   73.44185566
  125.03823836   84.71572221   41.77614369   98.63514227   73.75014095
  103.99486126   24.93037606   72.14830639   72.44100251  113.16907643
   84.57615647   69.85194405   72.3174128   126.18821172]"
"[ 52.3766109   48.58812698  48.58812698  95.14149525  48.58812698
  62.62894018  53.96293831  48.58812698  95.14149525  48.58812698
  95.14149525  95.14149525  62.62894018  95.14149525  62.62894018
  95.14149525  62.62894018  48.58812698  95.14149525]","[  73.89352556  132.48540525   94.89621798   61.83116907   93.39449458
   34.9011553    83.0330637    67.11273456   79.59022971  128.19378612
   72.44572585   81.30729899   69.86363212   92.36295135   86.23425118
   94.89621798   61.83116907   89.23700825   53.17687335]","[  72.92244708   79.84627394  117.52927616   74.26553788   79.58924966
  141.62265343  103.60073857   49.6776482    83.59649682  101.31615925
   53.00908718   48.26260443   60.18231219   64.34644276  118.07526587
  141.06660374   24.86698988   58.50829265   57.22702838]","[  98.28401397   79.44450946  142.69764796  125.80805152   42.34485623
  114.58273425   50.43973711   80.27840449   82.06897625   93.57877296
   41.96791286   66.54805718  104.50785045   61.49137062   40.46189577
  114.90353823   82.94529648   56.64497439   66.54805718]","[  85.02050685   64.11207306   27.43790816   36.0129837    85.55424131
   64.1582073    75.22389947   36.78058258  103.90224203  102.05387856
   93.15430012   41.99585369   69.34138293   90.03848161   29.71546825
   41.95900038   79.09116969   94.26015836   87.43353471]","[  87.49813715   34.03379      99.73370031   79.90376858  121.0448156
   78.91794112   87.49813715   34.03379      92.1313349    69.99590191
   56.00632528   68.76631076  126.57942142  102.55207135   92.80012257
   81.35385503   77.35245985   46.1462401    95.31099155]","[  59.87355217   23.85485255   64.85514318   94.04642072  130.78238897
  111.4128825    50.59827981   80.70637295  108.53485954   90.07066477
   51.22068848   55.69956537   88.62510625   82.64277094   51.52815292
   61.28770276  106.09561591   61.80377525   61.3941077 ]","[  61.1400913    62.69449492   65.13231729  129.6630106    57.92642156
   72.37822284  114.32664778  117.05458979   92.08379932   75.94860816
  107.21394765   88.22055427  106.59235731   66.52852845  102.79001608
   80.49363398   52.64847614  113.68192404  104.01173322]","[  62.2702923   139.88738234   81.35215906   42.5779559    51.64060417
  117.04701514  105.28044423   67.92220684   82.65337546   88.99692712
   65.21439533   83.3065147    67.05939123   51.67797745  124.53518905
   40.22798897   76.88921823  123.64633448   93.37509234]","[  94.96631255   44.51899446  115.32901118  143.330383    103.39461503
   77.07327791   34.271392    128.66624732   66.35974615  132.21447742
   69.61776445   68.8340037    41.40947032   87.50030921  102.69420752
   61.98381831   73.0882377    48.62083105   48.00133663]"
"[ 80.57546709  94.77198744  97.89001625  64.26038608  64.26038608
  80.57546709  64.26038608  80.57546709  80.57546709  94.77198744
  64.26038608  80.57546709  80.57546709  94.77198744  64.26038608
  80.57546709  97.89001625  64.26038608  94.77198744]","[  61.82330961   76.65112866   91.44101153  117.8182492    55.58128207
   86.89127912   72.85098641   57.6505802    53.94946101   62.85338414
   55.58128207   86.89127912   75.94820781  104.06689993   80.39721432
   83.66564517   61.82330961   74.83821446  111.91056036]","[  50.91996568  114.04890555   36.86480068  104.27023417   40.73392664
   90.56450687   67.09070036   87.78153498   59.90791422   44.24834253
   76.61754207   95.44735012  102.71263422   37.30233153   58.05392682
  102.33249003  122.88841778   62.71523099  145.36056492]","[ 124.08705028   74.63059801   27.791388    120.96158692   88.15088484
  132.69934985   82.55775317  116.7584052    59.39069063  109.55741322
   84.73450727  124.9658334    67.22146352   77.45561482  124.08705028
   43.93659103  117.88078409  142.42642447  134.43074757]","[ 102.61626589   95.06667674  111.6794981    75.86303508   98.26174818
   45.40849051   73.8836874    66.92599749   45.69563802   70.13149623
   59.70638972   92.73098827   72.89848184   45.86436521   75.94100683
   56.17458305   63.79760307   75.38783231  102.29124026]","[  67.1712175   144.09812111  134.83701244   85.03743313  104.07701055
  123.52501896   98.29191033  123.4144828    79.36058344  129.20151676
  104.07701055  109.4505585    81.45016665   79.42222772   94.51542825
  110.87741679   79.45925659   85.86225076   29.49963931]","[ 102.51771233   22.23714266   61.73445863   61.5411999    28.02170622
  104.52794357  136.4922876    89.13774438  110.39381077   73.46916048
  109.22199412   98.72325575   71.60834983   61.9084172   106.68785988
   52.74648284   63.58922807  103.21478354  103.05551349]","[  47.04183947   96.53412663  125.32444029  131.69479227   79.28819947
   49.57053117   62.71696223  136.18775733  132.05370034  108.04038239
   97.6805828    25.42365312  104.564094     64.16057381   90.84016452
  115.47723677   95.88965666   99.53148305  134.42433574]","[  34.85576756   96.0660199    38.46152448   51.78415731  107.09172206
  125.993753     44.22397173  147.49469383  128.56116385  108.65827701
   58.82546997   73.18246972   89.59633311   73.27886498   27.63089226
   95.55893724  116.58735768   73.64692868   87.21189129]","[ 138.31427922   84.17697405   34.96206043   94.64870036   65.3466676
   69.40171624   74.02180854  117.41622367   58.22158204   70.87375044
  138.31427922   79.76971611  143.20420798  103.58798075   83.77073783
  112.02443015   83.39495      70.93401305  107.16545832]"
"[ 36.51375472  73.32488949  36.51375472  73.32488949  36.51375472
  73.32488949  36.51375472  73.32488949  94.29698918  36.51375472
  94.29698918  36.51375472  94.29698918  36.51375472  77.81827704
  94.29698918  77.81827704  94.29698918  36.51375472]","[  71.76373967  124.00400665   47.08985732   83.48937846  136.80947949
  123.5561211    62.15214082   64.32017333   33.25007101   76.90230451
   56.93935008  123.5561211    62.15214082   76.03021874   99.85284068
   53.39462248  110.32871927   58.957476     83.48937846]","[  72.51317379   79.75285957  135.34966599   86.02990338  122.7937386
  105.80881744  104.64939714   85.01396939  121.77936263  120.05399625
   33.68127491  131.20444932  131.15142734   64.1944069    75.76106191
   81.81997798   40.06795569   72.36527024   54.86495789]","[ 118.41499677  169.87037549   96.51887314  116.59839736  114.20808029
  109.28629999  148.90072343  115.51260616  107.13936575  140.52739467
   50.78397729   82.58725697  169.87037549   95.41847294   86.76771257
   63.70294336  123.7302221    86.08817733  133.75926296]","[  81.16679752  128.12838103   88.71489031   69.51421087   70.59048329
   91.50808562   72.71203401  109.76198245  104.30623521   54.83331664
   20.33952034   96.807551     93.87664599   92.53809516   71.60527298
   81.90681444   88.52918618   74.9305383 ]","[ 113.67286264  146.07104202  102.66207702   96.05242078  111.57021294
   82.7708072   146.07104202  109.68149097   80.07948854  109.2485936
  118.50687446   58.59652034   51.32068137  117.3896088    91.55100941
  116.14612089   73.77117757  100.82801223  110.06417545]","[  40.59885301   54.16643677   66.32891059   50.29004037   64.287502
   91.28602753   62.34515523   50.42098652  159.66423414   68.42522235
   58.41816449   49.20389228  118.08573257   88.58439708  104.85982924
   82.83379181   84.23885129  119.72023236   42.81392492]","[  -5.95055938   81.25990661   57.53177074   67.20392204   84.92916908
   92.16943659   93.91520988   90.16016829   81.64245572  116.95660988
  102.85776023  121.31000284   49.73814804  105.75964282  118.27142806
   93.97848111  116.20491606  125.74332722  103.44166625]","[  61.55558791  135.13191614   75.19767591  106.97468257  137.72480423
   68.78182335  126.71820619   70.41599206   94.65600324   95.05827881
   69.52813176   69.03690307   67.04015996   51.01685801  141.26935557
   85.52118329   87.58693181   87.25293093   52.26533872]","[  89.20593513  107.5680547    94.17029234  138.67021758  130.63594491
   40.74391936  100.62563987  135.09364245   99.58293709  158.31806964
   90.72257919   58.99637115   78.36606614   94.17029234   75.91899196
  118.41933452  159.23149331  133.25640495   80.08550535]"
"[ 115.6016969   106.972791     91.71541465  106.972791     91.71541465
  106.972791     91.71541465   78.80837876  106.972791     78.80837876
  106.972791     67.68936938   78.80837876   78.80837876  106.972791
  106.972791     91.71541465   78.80837876  106.972791  ]","[ 128.80523092   50.86894288  106.15985351   52.64135185   97.00862567
  138.55786717  106.15985351   52.64135185   95.20987438  113.65505293
   78.74935766  115.33212506   75.80850253   95.99506729  111.81183401
  106.49127526  140.93314869   96.34181994  139.5580903 ]","[  78.61729275  122.97598246  128.89491476  112.24159304   84.75487765
   97.81238183   71.63848256  132.80169722  117.25414529   29.09240444
  115.08520626   40.68359247   45.04672659  101.6391581    67.7536938
  153.69966675   85.64670886   71.48786942   99.43715465]","[  94.3842823   163.80624975   78.72048461   79.74876452  120.03895357
  145.45504265  104.31952263   63.14111246  104.8694563    92.26716817
  134.85334028  116.57148241   97.04633506  136.04087353  111.43898244
  104.31952263  109.14219512   99.17911723   45.96680523]","[  57.53866474   62.04694075   56.52913727   89.98676983   38.18347047
   64.21418068   48.74055964   86.32266835  104.96190794   77.43275717
   99.03947498  120.15489338   66.76601257   94.72078694   69.02224572
   50.2065337    54.12918893  109.57982076   84.73707437]","[ 100.83052589  110.75893398  115.99521763  109.01134499  103.83035211
  120.76374999   86.59133352   86.43514949  109.01134499  102.70061047
   90.98671162  122.99047356  117.67456514  177.96453292  134.02193359
   71.25489046   73.1592739    95.68024687  140.31738929]","[  60.56802176  114.95692325  100.33739731   72.72607043   16.76585067
   82.74007394   41.26720131   58.95481667  107.43973614  126.33524368
   66.7759931   115.28788147   45.64340385   97.13475393  123.92879683
  121.48939164  104.01664144   83.03976858   98.26437476]","[ 124.50940162  118.97039967  105.14898992   66.2478777    65.43633515
  112.4275505   128.52138346   87.80514583  120.35863926  134.60315188
   92.88716669   77.6495959   150.2520593    76.15143999   95.41705052
  102.53595116  120.33188185   77.92016518  101.54144756]","[ 117.23090693   40.72018695   95.17667294  126.04358422   95.88484405
   72.70411181   84.13318871   61.64835612   90.98007915   87.81183095
  108.87468201   84.06983117  129.20043715  110.1760984    92.37271328
  123.4020278    79.02261      68.19310312  118.53874285]","[  53.28589836  132.78616587   46.85968967  124.41876781   90.56177538
   83.6979866    90.70815508  106.05877078   91.51696464   80.34601349
  103.1959251   124.56977385   94.68746549  121.20043169  102.28924255
   64.69252226   92.4593909    97.06730808  131.76709606]"
"[  75.24059207   90.79533305  123.99042263  108.31046439   27.81649306
   83.81429861   83.81429861  123.99042263  123.99042263  108.31046439
   83.81429861  123.99042263   83.81429861  123.99042263  123.99042263
  108.31046439  123.99042263  108.31046439   83.81429861]","[  93.19536664  117.78602165   55.03480655   82.60997989  107.86864108
  128.9828919    80.32392552   78.85154378  124.10165652  124.57112637
   80.32392552   78.85154378   92.92013418   88.31061016  107.70055059
  148.67388698   96.05253562  131.93428645   60.7420201 ]","[  79.8617187    72.14347551   91.71915414  131.39482197   67.43927129
   43.89988032   62.52873      71.86135891  108.58317625   60.11548738
   68.33243182   37.46927656  113.23712141   79.97157008  135.51580378
  103.51711519   28.59364571   89.55778713   39.87578839]","[ 125.94753209   95.35159858  133.20516117   95.23923571   78.45384589
  128.43237335  105.29052301  112.9802704    46.0327299   132.42148908
   85.02613781   98.46132387  105.72004952  141.03578402  131.61243117
   80.10464837  132.42148908  113.88655149  149.3123642 ]","[  87.18120419   84.07132241   74.12267377   46.73352207   84.56038729
   85.56231163   73.38096795   78.22768896   51.35604133   41.35966027
   48.88241589  102.91260858   53.24853274   96.04304736  126.46490113
   75.96908282  132.94171021   96.48124455  108.62244725]","[  89.75016245  133.55274456   74.96797169   74.39450636  126.87768048
  111.42073917  117.39154582  116.82134344  116.82134344   47.12188637
  141.16760913  122.22759086  118.94309422  138.81947207   75.4939205
  108.57409981   83.48416993  148.78622434  112.49883436]","[  74.28033152   82.19696677   82.25233737   48.46275844  100.73216518
  145.77882513  113.03258113   94.59239845   66.86661759  112.15215457
   66.2967227    42.31397974  149.43865117   45.37755941  143.77654174
   42.60732581  100.64795389   49.26739812  108.12872872]","[  86.60575131  113.38862656  102.18204808  121.56285753   79.38727073
  119.92657089  103.7575485    86.54188892   98.76741566  120.28898502
  115.32790118   85.97406094  114.2451964    97.08558201   78.62508472
  162.40989211  112.13410186   71.21617737   93.12227526]","[  66.24011177   93.44334752   59.1270768    28.08556836   64.1322274
  142.03548499   70.28543076   78.76283241  103.96127031   81.93465505
  144.11190721   54.08659095   93.38470533   64.12349571  119.25351319
   67.99339995   93.71055816  135.48292871   62.48299049]","[ 135.96131016   69.2543558    17.59683359  104.80492848  108.63951337
   93.97688891  110.72387432  149.76126366  150.33620632  109.97065428
  129.06635612  120.57348075  136.16441146  139.17112784  115.63111365
  118.75974032   72.40822508  142.49430597   95.93123432]"
"[ 71.04659742  79.17810364  55.45982506  64.2596997   97.5863859
  67.97046669  55.45982506  64.2596997   79.17810364  55.45982506
  55.45982506  64.2596997   55.45982506  64.2596997   79.17810364
  79.17810364  55.45982506  71.04659742  79.17810364]","[ 107.2191961   124.51288969   76.26274737   66.96746259  137.91699001
  100.69374068   61.89095833   54.86779783   83.29532281   93.34678341
   92.214936    123.32667618  109.7075428    68.10782488   99.05202307
  126.77853352  109.7075428    68.10782488  127.89960726]","[  84.00189722  119.09527557  104.52629549  109.45640877   85.23001734
   89.32262264  109.76409733   87.15568444   72.98172117  160.18181552
  118.52752528   80.54314494   89.79777215  150.73126864   46.71400756
   79.92842791   69.14592286  116.51110622  144.620132  ]","[ 117.95315989   36.92578763   67.91149829   94.13789477  137.98111057
  100.22190378   61.69463369  104.2571918   164.56097031  103.17767936
  120.76894873   54.3329156   103.17767936  123.38024511  100.6805656
  134.01512333  114.67847986   88.37555314  119.94725497]","[  48.05840148   80.89840999   46.3985283    81.2087119   112.19127484
   94.7168254    48.79503957   50.94163618   87.87050875  107.01433318
  130.11589846   64.99293849  113.77762794  133.83386858  102.96569765
   97.26218369   29.49664728   95.49669044   98.05985031]","[ 107.29619531   81.26319413   50.98215695   60.5090712   159.72934102
  115.83153278   60.5090712    95.85496397   74.51729171  106.33534373
  111.60759576  159.9988445   121.08245892  108.51770314  101.19779847
  164.58157523  109.96174474  148.42164849  123.18325462]","[ 132.7289815   104.06361717   37.19061765  101.63512342   80.51039189
  112.25248642  140.28816568   87.91458464   99.76701676  121.08422805
   22.09075936  122.68974995   69.02150204  129.62317291   80.9636596
  115.31135636   68.11381228   98.77217458   97.90229104]","[ 141.19580118  136.53335341   98.215796    159.7757005    98.25741599
  145.98455079  107.14610973   59.8255861   116.76163602  108.13106881
   67.14677638  109.7721364   126.38861722  124.45019343   80.17528599
  112.2850962   148.96110778  145.78600068  110.26441893]","[  80.78898338   95.12065507  113.9643771   153.35179591  116.38179718
   88.10763228  101.5618215   102.36786795   64.37109782   30.00420868
  103.01958803  118.47436809  113.79495835   22.29632454   50.06614143
   60.9227266   109.38417618  102.54313172  117.2230101 ]","[ 103.68767579   79.28731703   51.16877601  111.82800861  119.99801914
  135.73162464   72.99910354  132.23154106  123.61491656  124.55932078
  148.14978483  118.79983934  111.36890922   95.30719039  112.69684264
  129.70486143   90.67926001  108.49261131  152.42947374]"
